index,quality,realism,relevance,detail_preservation,explanation,filename,class_name,overall_score,real_filename
10,0.9,0.9,1.0,0.95,Almost identical to the reference image with negligible differences.,aug-1-9.png,airplane,0.9375,2007_004988.jpg
4,0.95,0.95,0.9,0.95,"Extremely close in quality and realism to the reference, with both relevance and detail well maintained.",aug-26-3.png,motorcycle,0.9375,2007_004003.jpg
1,0.9,0.9,1.0,0.9,"Slightly altered angle and lighting, but overall close to the reference.",aug-7-0.png,boat,0.9249999999999999,2007_007415.jpg
8,0.9,0.9,1.0,0.9,High quality and realism; very similar to the reference image with well-maintained details.,aug-37-7.png,train,0.9249999999999999,2009_005287.jpg
2,0.9,0.9,1.0,0.9,Very similar to the reference image with high realism and relevance.,aug-33-1.png,sheep,0.9249999999999999,2011_002464.jpg
10,0.9,0.9,1.0,0.9,Very close to the reference image in all aspects.,aug-8-9.png,bottle,0.9249999999999999,2009_001937.jpg
4,0.92,0.92,0.95,0.9,Very close match; slight difference in angle and minor details.,aug-27-3.png,motorcycle,0.9225,2010_004289.jpg
5,0.85,0.9,0.95,0.95,Very good quality and closely aligns with real-world expectations. It highly resembles the reference bus and retains most details.,aug-11-4.png,bus,0.9125000000000001,2007_002024.jpg
6,0.9,0.9,0.95,0.9,Nearly identical in quality and realism; slight angle variation.,aug-27-5.png,motorcycle,0.9125,2010_004289.jpg
1,0.9,0.9,0.95,0.9,Slightly lower clarity but almost identical to the reference.,aug-27-0.png,motorcycle,0.9125,2010_004289.jpg
10,0.9,0.9,0.95,0.9,High visual fidelity with close resemblance to the reference image in terms of quality and scene.,aug-20-9.png,dining table,0.9125,2008_002960.jpg
10,0.9,0.9,0.9,0.9,"Almost identical to the reference image, excellent visual quality and detail preservation.",aug-0-9.png,airplane,0.9,2007_009348.jpg
9,0.9,0.9,0.9,0.9,"Almost identical to the reference image, with slight variations in lighting and positioning.",aug-6-8.png,boat,0.9,2008_006065.jpg
5,0.8,0.9,1.0,0.9,Highest realism and detail preservation. Similar model and clear image.,aug-12-4.png,car,0.9,2008_002473.jpg
6,0.9,0.9,1.0,0.8,"High quality and relevance, very close to the original.",aug-33-5.png,sheep,0.8999999999999999,2011_002464.jpg
7,0.9,0.9,1.0,0.8,"High quality and relevance, very close to the original.",aug-33-6.png,sheep,0.8999999999999999,2011_002464.jpg
8,0.88,0.9,0.92,0.88,Slight angle variation; good quality and detail preservation.,aug-27-7.png,motorcycle,0.895,2010_004289.jpg
4,0.85,0.85,1.0,0.85,Very similar despite minor differences in lighting and angle.,aug-7-3.png,boat,0.8875000000000001,2007_007415.jpg
7,0.9,0.9,0.85,0.9,"High-quality image with strong realism and detail retention. Overall relevance is excellent, though not perfectly matching the reference.",aug-26-6.png,motorcycle,0.8875,2007_004003.jpg
4,0.85,0.9,0.9,0.85,Image closely matches the reference in clarity and detail preservation.,aug-10-3.png,bus,0.875,2008_003373.jpg
3,0.9,0.9,0.8,0.9,"Great quality and realism, though features sportbike details. Very well preserved details.",aug-26-2.png,motorcycle,0.875,2007_004003.jpg
10,0.8,0.8,1.0,0.9,Similar to the reference with minor differences in lighting and object placement.,aug-21-9.png,dining table,0.875,2010_002418.jpg
1,0.8,0.8,1.0,0.9,Slightly darker but overall similar to the reference with good visual fidelity.,aug-21-0.png,dining table,0.875,2010_002418.jpg
6,0.9,0.9,0.8,0.9,Very close to the reference image in terms of type and quality with minor differences in colors and minor details.,aug-6-5.png,boat,0.875,2008_006065.jpg
9,0.8,0.8,1.0,0.9,Very close to the reference image with slight differences.,aug-1-8.png,airplane,0.875,2007_004988.jpg
10,0.85,0.85,0.9,0.9,"High quality, realism, and relevance. Details are well preserved with minimal differences from the reference.",aug-11-9.png,bus,0.875,2007_002024.jpg
9,0.86,0.85,0.88,0.86,Minor differences in background and slight blurring.,aug-27-8.png,motorcycle,0.8624999999999999,2010_004289.jpg
1,0.8,0.9,0.9,0.8,"Slightly lower quality, but visually similar to the reference.",aug-31-0.png,potted plant,0.8500000000000001,2009_000635.jpg
10,0.8,0.9,0.9,0.8,Visually and contextually very similar to the reference.,aug-31-9.png,potted plant,0.8500000000000001,2009_000635.jpg
7,0.8,0.8,0.9,0.9,Very similar to the reference image with slight environmental differences.,aug-6-6.png,boat,0.85,2008_006065.jpg
6,0.8,0.8,0.9,0.9,"High quality and detailed, closely matches the reference.",aug-15-5.png,cat,0.85,2011_000973.jpg
7,0.85,0.8,0.9,0.85,Good quality with some minor lighting and detail differences.,aug-27-6.png,motorcycle,0.85,2010_004289.jpg
2,0.8,0.85,0.9,0.85,Good match with some minor blurring and lighting differences.,aug-27-1.png,motorcycle,0.85,2010_004289.jpg
2,0.8,0.8,0.9,0.9,"Good overall quality, realism, and relevance. The bus closely matches the reference image and retains most of the key details.",aug-11-1.png,bus,0.85,2007_002024.jpg
2,0.85,0.8,0.9,0.85,The image closely resembles the reference with minor augmented tweaks.,aug-3-1.png,bicycle,0.85,2009_003519.jpg
10,0.85,0.8,0.9,0.85,Image closely matches the reference in all aspects with high fidelity and detail retention.,aug-10-9.png,bus,0.85,2008_003373.jpg
